model,scenario,Category
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,C7
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,C7
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,C7
MESSAGEix-GLOBIOM_1.1,NGFS2_Below 2°C,C3
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,C7
MESSAGEix-GLOBIOM_1.1,NGFS2_Delayed Transition,C3
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,C1
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,C1
MESSAGEix-GLOBIOM_1.2,COV_GreenPush,C7
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_1000,C3
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_550,C1
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_max_GDP,C7
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_min_GDP,C7
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID,C7
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_1000,C3
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_550,C1
MESSAGEix-GLOBIOM_1.2,COV_Restore,C7
MESSAGEix-GLOBIOM_1.2,COV_Restore_1000,C3
MESSAGEix-GLOBIOM_1.2,COV_Restore_550,C1
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance,C7
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_1000,C3
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_550,C1
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_max_GDP,C7
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_min_GDP,C7
MESSAGEix-GLOBIOM_1.2,COV_SmartUse,C7
MESSAGEix-GLOBIOM_1.2,COV_SmartUse_1000,C3
MESSAGEix-GLOBIOM_1.2,COV_SmartUse_550,C1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,C3
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,C3
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,C2
POLES ADVANCE,ADVANCE_2020_1.5C-2100,C1
POLES ADVANCE,ADVANCE_2020_Med2C,C3
POLES ADVANCE,ADVANCE_2020_WB2C,C2
POLES ADVANCE,ADVANCE_2030_1.5C-2100,C2
POLES ADVANCE,ADVANCE_2030_Med2C,C3
POLES ADVANCE,ADVANCE_2030_Price1.5C,C2
POLES ADVANCE,ADVANCE_2030_WB2C,C2
POLES ADVANCE,ADVANCE_INDC,C5
POLES ADVANCE,ADVANCE_NoPolicy,C7
POLES ADVANCE,ADVANCE_Reference,C7
POLES ENGAGE,EN_INDCi2030_1000,C4
POLES ENGAGE,EN_INDCi2030_1000_COV,C4
POLES ENGAGE,EN_INDCi2030_1000_COV_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1000_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1000f,C4
POLES ENGAGE,EN_INDCi2030_1000f_COV,C4
POLES ENGAGE,EN_INDCi2030_1000f_COV_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1000f_NDCp,C4
POLES ENGAGE,EN_INDCi2030_1200,C4
POLES ENGAGE,EN_INDCi2030_1200f,C4
POLES ENGAGE,EN_INDCi2030_1400,C5
POLES ENGAGE,EN_INDCi2030_1400f,C5
POLES ENGAGE,EN_INDCi2030_1600,C5
POLES ENGAGE,EN_INDCi2030_1600f,C5
POLES ENGAGE,EN_INDCi2030_1800,C5
POLES ENGAGE,EN_INDCi2030_1800f,C5
POLES ENGAGE,EN_INDCi2030_2000,C5
POLES ENGAGE,EN_INDCi2030_2000f,C5
POLES ENGAGE,EN_INDCi2030_2500,C6
POLES ENGAGE,EN_INDCi2030_2500f,C6
POLES ENGAGE,EN_INDCi2030_3000,C6
POLES ENGAGE,EN_INDCi2030_3000f,C6
POLES ENGAGE,EN_INDCi2030_300f,C2
POLES ENGAGE,EN_INDCi2030_400f,C2
POLES ENGAGE,EN_INDCi2030_500f,C3
POLES ENGAGE,EN_INDCi2030_600f,C3
POLES ENGAGE,EN_INDCi2030_600f_COV,C3
POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp,C3
POLES ENGAGE,EN_INDCi2030_600f_NDCp,C3
POLES ENGAGE,EN_INDCi2030_700f,C3
POLES ENGAGE,EN_INDCi2030_800f,C4
POLES ENGAGE,EN_INDCi2030_900,C3
POLES ENGAGE,EN_INDCi2030_900f,C4
POLES ENGAGE,EN_INDCi2100,C7
POLES ENGAGE,EN_INDCi2100_COV,C7
POLES ENGAGE,EN_INDCi2100_COV_NDCp,C6
POLES ENGAGE,EN_INDCi2100_NDCp,C6
POLES ENGAGE,EN_NPi2020_1000,C4
POLES ENGAGE,EN_NPi2020_1000_COV,C4
POLES ENGAGE,EN_NPi2020_1000f,C4
POLES ENGAGE,EN_NPi2020_1000f_COV,C4
POLES ENGAGE,EN_NPi2020_1200,C4
POLES ENGAGE,EN_NPi2020_1200f,C4
POLES ENGAGE,EN_NPi2020_1400,C5
POLES ENGAGE,EN_NPi2020_1400f,C5
POLES ENGAGE,EN_NPi2020_1600,C5
POLES ENGAGE,EN_NPi2020_1600f,C5
POLES ENGAGE,EN_NPi2020_1800,C5
POLES ENGAGE,EN_NPi2020_1800f,C5
POLES ENGAGE,EN_NPi2020_2000,C5
POLES ENGAGE,EN_NPi2020_2000f,C5
POLES ENGAGE,EN_NPi2020_2500,C6
POLES ENGAGE,EN_NPi2020_2500f,C6
POLES ENGAGE,EN_NPi2020_3000,C6
POLES ENGAGE,EN_NPi2020_3000f,C6
POLES ENGAGE,EN_NPi2020_300f,C2
POLES ENGAGE,EN_NPi2020_400f,C2
POLES ENGAGE,EN_NPi2020_500,C3
POLES ENGAGE,EN_NPi2020_500f,C3
POLES ENGAGE,EN_NPi2020_600,C3
POLES ENGAGE,EN_NPi2020_600f,C3
POLES ENGAGE,EN_NPi2020_600f_COV,C3
POLES ENGAGE,EN_NPi2020_700,C3
POLES ENGAGE,EN_NPi2020_700f,C3
POLES ENGAGE,EN_NPi2020_800,C3
POLES ENGAGE,EN_NPi2020_800f,C4
POLES ENGAGE,EN_NPi2020_900,C3
POLES ENGAGE,EN_NPi2020_900f,C4
POLES ENGAGE,EN_NPi2100,C7
POLES ENGAGE,EN_NPi2100_COV,C7
POLES GECO2019,CO_2Deg2020,C3
POLES GECO2019,CO_2Deg2030,C3
POLES GECO2019,CO_BAU,C7
POLES GECO2019,CO_Bridge,C2
POLES GECO2019,CO_Bridge_notax,C4
POLES GECO2019,CO_CurPol,C7
POLES GECO2019,CO_GPP,C5
POLES GECO2019,CO_GPP_notax,C7
POLES GECO2019,CO_NDC_2050convergence,C6
POLES GECO2019,CO_NDCplus,C7
REMIND-MAgPIE 1.5,SSP1-19,C2
REMIND-MAgPIE 1.5,SSP1-26,C4
REMIND-MAgPIE 1.5,SSP1-34,C5
REMIND-MAgPIE 1.5,SSP1-45,C6
REMIND-MAgPIE 1.5,SSP1-Baseline,C7
REMIND-MAgPIE 1.5,SSP2-19,C1
REMIND-MAgPIE 1.5,SSP2-26,C3
REMIND-MAgPIE 1.5,SSP2-34,C5
REMIND-MAgPIE 1.5,SSP2-45,C6
REMIND-MAgPIE 1.5,SSP2-60,C7
REMIND-MAgPIE 1.5,SSP2-Baseline,C7
REMIND-MAgPIE 1.5,SSP5-19,C2
REMIND-MAgPIE 1.5,SSP5-26,C4
REMIND-MAgPIE 1.5,SSP5-34,C5
REMIND-MAgPIE 1.5,SSP5-45,C6
REMIND-MAgPIE 1.5,SSP5-60,C7
REMIND-MAgPIE 1.5,SSP5-Baseline,C8
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,C4
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDCi,C7
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,C3
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,C7
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,C4
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NoPolicy,C7
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,C2
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,C2
REMIND-MAgPIE 1.7-3.0,CO_BAU,C7
REMIND-MAgPIE 1.7-3.0,CO_Bridge,C2
REMIND-MAgPIE 1.7-3.0,CO_CurPol,C7
REMIND-MAgPIE 1.7-3.0,CO_GPP,C5
REMIND-MAgPIE 1.7-3.0,CO_NDCplus,C7
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,C2
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,C2
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,C1
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,C8
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_full,C5
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,C3
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none,C4
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,C3
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,C3
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none,C4
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full,C5
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none,C5
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,C2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,C1
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,C2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,C2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,C1
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,C2
REMIND-MAgPIE 1.7-3.0,PEP_NDC,C7
REMIND-MAgPIE 1.7-3.0,PEP_NPi,C7
REMIND-MAgPIE 1.7-3.0,PEP_NoPolicy,C7
REMIND-MAgPIE 1.7-3.0,PEP_goodpractice,C6
REMIND-MAgPIE 1.7-3.0,PEP_netzero,C5
REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty,C1
REMIND-MAgPIE 1.7-3.0,SMP_REF_Def,C7
REMIND-MAgPIE 1.7-3.0,SMP_REF_Sust,C7
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,C3
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,C3
REMIND-MAgPIE 2.0-4.1,Diff_No-policy_baseline,C7
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,C1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,C1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,C6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,C1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,C3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-minCDR,C3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-Npi,C7
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400f,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500f,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000f,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV_NDCp,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_NDCp,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800f,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000f,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500f,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000f,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,C2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,C2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,C7
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,C7
REMIND-MAgPIE 2.1-4.2,EN_NoPolicy,C7
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C,C3
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,C7
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,C3
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,C1
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),C5
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,C1
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-NPi,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,C1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,C7
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,C1
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,C3
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Base,C7
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Npi,C7
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,C2
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,C1
WITCH 4.6,DISCRATE_Ref_dr2p,C8
WITCH 4.6,DISCRATE_Ref_dr3p,C8
WITCH 4.6,DISCRATE_Ref_dr4p,C8
WITCH 4.6,DISCRATE_Ref_dr5p,C8
WITCH 5.0,CO_2Deg2020,C3
WITCH 5.0,CO_2Deg2030,C3
WITCH 5.0,CO_BAU,C7
WITCH 5.0,CO_Bridge,C3
WITCH 5.0,CO_CurPol,C7
WITCH 5.0,CO_GPP,C5
WITCH 5.0,CO_NDC_2050convergence,C5
WITCH 5.0,CO_NDCplus,C6
WITCH 5.0,EN_INDCi2030_1000,C3
WITCH 5.0,EN_INDCi2030_1000_NDCp,C3
WITCH 5.0,EN_INDCi2030_1000f,C3
WITCH 5.0,EN_INDCi2030_1000f_NDCp,C3
WITCH 5.0,EN_INDCi2030_1200,C4
WITCH 5.0,EN_INDCi2030_1200_NDCp,C4
WITCH 5.0,EN_INDCi2030_1200f,C4
WITCH 5.0,EN_INDCi2030_1200f_NDCp,C4
WITCH 5.0,EN_INDCi2030_1400,C4
WITCH 5.0,EN_INDCi2030_1400_NDCp,C4
WITCH 5.0,EN_INDCi2030_1400f,C4
WITCH 5.0,EN_INDCi2030_1400f_NDCp,C4
WITCH 5.0,EN_INDCi2030_1600,C5
WITCH 5.0,EN_INDCi2030_1600_NDCp,C5
WITCH 5.0,EN_INDCi2030_1600f,C5
WITCH 5.0,EN_INDCi2030_1600f_NDCp,C5
WITCH 5.0,EN_INDCi2030_1800,C5
WITCH 5.0,EN_INDCi2030_1800_NDCp,C5
WITCH 5.0,EN_INDCi2030_1800f,C5
WITCH 5.0,EN_INDCi2030_1800f_NDCp,C5
WITCH 5.0,EN_INDCi2030_2000,C5
WITCH 5.0,EN_INDCi2030_2000_NDCp,C5
WITCH 5.0,EN_INDCi2030_2000f,C5
WITCH 5.0,EN_INDCi2030_2000f_NDCp,C5
WITCH 5.0,EN_INDCi2030_2500,C5
WITCH 5.0,EN_INDCi2030_2500_NDCp,C5
WITCH 5.0,EN_INDCi2030_2500f,C5
WITCH 5.0,EN_INDCi2030_2500f_NDCp,C5
WITCH 5.0,EN_INDCi2030_3000,C6
WITCH 5.0,EN_INDCi2030_3000_NDCp,C6
WITCH 5.0,EN_INDCi2030_3000f,C6
WITCH 5.0,EN_INDCi2030_3000f_NDCp,C6
WITCH 5.0,EN_INDCi2030_500f,C2
WITCH 5.0,EN_INDCi2030_600f,C3
WITCH 5.0,EN_INDCi2030_600f_NDCp,C3
WITCH 5.0,EN_INDCi2030_700f,C3
WITCH 5.0,EN_INDCi2030_700f_NDCp,C3
WITCH 5.0,EN_INDCi2030_800,C3
WITCH 5.0,EN_INDCi2030_800_NDCp,C3
WITCH 5.0,EN_INDCi2030_800f,C3
WITCH 5.0,EN_INDCi2030_800f_NDCp,C3
WITCH 5.0,EN_INDCi2030_900,C3
WITCH 5.0,EN_INDCi2030_900_NDCp,C3
WITCH 5.0,EN_INDCi2030_900f,C3
WITCH 5.0,EN_INDCi2030_900f_NDCp,C3
WITCH 5.0,EN_INDCi2100,C6
WITCH 5.0,EN_INDCi2100_NDCp,C6
WITCH 5.0,EN_NPi2020_1000,C3
WITCH 5.0,EN_NPi2020_1000f,C3
WITCH 5.0,EN_NPi2020_1200,C4
WITCH 5.0,EN_NPi2020_1200f,C4
WITCH 5.0,EN_NPi2020_1400,C4
WITCH 5.0,EN_NPi2020_1400f,C4
WITCH 5.0,EN_NPi2020_1600,C4
WITCH 5.0,EN_NPi2020_1600f,C4
